quartil,periodo,grupo_origem,alvo,peso,n,pct_da_origem
Q1,pos,7,G4,431276.34023213,730,0.8128929507889217
Q1,pos,7,G5,1845470.88631719,3612,3.478443249555438
Q1,pos,7,G6,461336.90359358,1533,0.8695527249840792
Q1,pos,7,G7,38089361.09100403,72806,71.79288600498168
Q1,pos,7,G8,2211406.05986954,3938,4.168177638569957
Q1,pos,7,G9,3534575.12782758,7521,6.662158197452715
Q1,pos,8,Desocupado,173580.50391418,387,1.5775353562704009
Q1,pos,8,Fora da força de trabalho,364983.74498901,914,3.317047417196184
Q1,pos,8,G0,7029.02053847,17,0.06388118578610372
Q1,pos,8,G1,91539.31301458,169,0.8319281227608329
Q1,pos,8,G2,36737.98247584,66,0.3338823483444533
Q1,pos,8,G3,297653.47772958,525,2.705136086408711
Q1,pos,8,G4,179878.17965111,302,1.634769929931076
Q1,pos,8,G5,224365.96564142,413,2.0390840881420886
Q1,pos,8,G6,219449.77477378,815,1.9944047333931811
Q1,pos,8,G7,1217055.66518971,2187,11.060852452273101
Q1,pos,8,G8,7332672.66976821,15596,66.640838871145
Q1,pos,8,G9,858325.56080088,1948,7.800639408348869
Q1,pos,9,Desocupado,3521901.40291082,7556,3.8484751724658777
Q1,pos,9,Fora da força de trabalho,9427118.60649633,25796,10.301262799409184
Q1,pos,9,G0,24583.84994598,38,0.02686342555828963
Q1,pos,9,G1,229304.00569037,459,0.25056657523603837
Q1,pos,9,G2,315511.90240172,611,0.34476823286618363
Q1,pos,9,G3,814173.60514109,1464,0.8896691153457206
Q1,pos,9,G4,1175183.5860841,2219,1.2841543066470098
Q1,pos,9,G5,4947933.69654841,10645,5.406738522105083
Q1,pos,9,G6,3282205.2170668,11723,3.5865527860546424
Q1,pos,9,G7,4401674.79962858,9321,4.809826921798199
Q1,pos,9,G8,2472226.81619522,5036,2.70146788180049
Q1,pos,9,G9,60902386.0621292,139253,66.54965426071328
Q1,pre,2,Desocupado,2034.5941977999998,3,19.999482254392195
Q1,pre,2,Fora da força de trabalho,1261.55874317,4,12.400763613787662
Q1,pre,2,G1,262.81526278,1,2.5833992792447313
Q1,pre,2,G2,5301.34822074,14,52.11074512042102
Q1,pre,2,G3,615.63135144,2,6.051481077496939
Q1,pre,2,G5,298.01153629,1,2.9293686367928413
Q1,pre,2,G7,399.27503415,1,3.9247600178646116
Q1,pre,3,Desocupado,17260.49487282,26,10.987635366759777
Q1,pre,3,Fora da força de trabalho,10512.91491969,21,6.692280646090777
Q1,pre,3,G0,1066.08384393,1,0.6786445367764071
Q1,pre,3,G1,1852.2667803699999,2,1.1791105721259416
Q1,pre,3,G2,1157.00775699,3,0.7365246155449149
Q1,pre,3,G3,82581.67036473,124,52.56959830128896
Q1,pre,3,G4,6955.4890972700005,6,4.4277049158434565
Q1,pre,3,G5,1073.2528674,5,0.683208172778996
Q1,pre,3,G6,783.16743946,2,0.4985464390975189
Q1,pre,3,G7,14969.0577697,20,9.528959034449416
Q1,pre,3,G8,12263.53625404,27,7.806686057339894
Q1,pre,3,G9,6615.22617876,19,4.211101341903948
Q1,pre,5,Desocupado,79908.5120189,136,2.3034875865263023
Q1,pre,5,Fora da força de trabalho,89418.04515141,225,2.577614722308988
Q1,pre,5,G0,305.95763313,1,0.008819706338058592
Q1,pre,5,G1,13480.4228561,28,0.38859423014668776
Q1,pre,5,G2,20861.74022951,40,0.6013722247843474
Q1,pre,5,G3,33925.80781974,68,0.9779643645118123
Q1,pre,5,G4,86048.26392686,176,2.480475518687922
Q1,pre,5,G5,2725363.42950177,5199,78.56285482008776
Q1,pre,5,G6,8249.55083506,34,0.23780617937778473
Q1,pre,5,G7,62345.54087945,111,1.797207529744941
Q1,pre,5,G8,48398.51603146,97,1.3951627688724046
Q1,pre,5,G9,300717.1193526,840,8.66864034861299
Q1,pre,6,Desocupado,51534.10365135,179,2.842048036410328
Q1,pre,6,Fora da força de trabalho,276183.696289,1185,15.2312211935821
Q1,pre,6,G0,249.95516714,1,0.01378474721840326
Q1,pre,6,G1,6618.3370678500005,23,0.36499386882208906
Q1,pre,6,G2,5153.75148101,18,0.28422361579908045
Q1,pre,6,G3,5750.06429958,22,0.31710959915815606
Q1,pre,6,G4,2003.21315723,7,0.11047495962157312
Q1,pre,6,G5,51696.07377223,187,2.8509805069761973
Q1,pre,6,G6,1160773.7158402,4722,64.01536897079492
Q1,pre,6,G7,52522.84114324,186,2.8965758005170326
Q1,pre,6,G8,45701.38649884,153,2.5203802250833403
Q1,pre,6,G9,155086.35283062,524,8.552838476016774
Q1,pre,7,Desocupado,1517620.45711929,3238,4.785287622411106
Q1,pre,7,Fora da força de trabalho,1743828.93568219,4457,5.498557285766999
Q1,pre,7,G0,4127.44382667,14,0.013014456785494285
Q1,pre,7,G1,215769.54447945,438,0.6803541199297601
Q1,pre,7,G2,212586.82171506,396,0.6703185120288815
Q1,pre,7,G3,730428.96270725,1421,2.303153372700513
Q1,pre,7,G4,249683.80884283,462,0.7872909424534328
Q1,pre,7,G5,1160631.0656065,2542,3.6596458926067563
Q1,pre,7,G6,288692.91538785,1007,0.9102925755926778
Q1,pre,7,G7,22419308.76985121,46465,70.69148300954208
Q1,pre,7,G8,1180751.69579738,2423,3.723089293198688
Q1,pre,7,G9,1990869.25894012,4703,6.2775129169836195
Q1,pre,8,Desocupado,159231.11413235,357,2.5354570810591692
Q1,pre,8,Fora da força de trabalho,212044.59399827,585,3.3764127713529786
Q1,pre,8,G0,3151.05763432,9,0.05017468749933872
Q1,pre,8,G1,69803.01429343,141,1.1114821863423427
Q1,pre,8,G2,25471.17093937,47,0.40558066225307954
Q1,pre,8,G3,158961.00090596,294,2.531156034142114
Q1,pre,8,G4,98800.64642066,205,1.573215134149414
Q1,pre,8,G5,124770.11225764,281,1.9867302088035197
Q1,pre,8,G6,158271.1300391,600,2.5201711334590557
Q1,pre,8,G7,656791.95595499,1394,10.45818101934928
Q1,pre,8,G8,4124712.85040556,9529,65.67832210986103
Q1,pre,8,G9,488165.26413943,1231,7.7731169717286885
